"PC3"	"DU145"	"LNCaP"	"22Rv"	"WPMY1"	"VCaP"	"MDAPCa2b"	"HPV7"	"HPV10"	"RWPE1"	"RWPE2"	"NB11"	"W99"	"PWR1E"	"DUCaP"	"NB26"
"9733"	8.52715558303913	8.46056121298417	8.20070106304927	9.13091179233603	8.7028712145107	8.82790577311706	8.03710579223943	8.17627509440473	8.39032816588467	8.15488380183739	8.20206015561216	8.25357685349445	8.26082846664542	8.34913728917331	8.86673745068249	7.89913128978895
"27013"	6.71999929995727	5.88603162397617	6.1408734306583	6.73307188746568	6.38257907013798	6.35811089576007	6.93878492383632	6.72932422887195	6.65938067539225	6.36557561260019	6.62728746318059	6.79973578618171	6.62937557454998	6.78473372509677	6.13965791870244	6.85813338875972
"10285"	9.36901070006279	9.52677492398327	9.68210554543091	9.46745390051414	9.95376742682497	9.52966729308364	9.44716891963301	10.0381629120161	10.0381240004772	9.53356439047291	9.34215172692932	9.77530464608951	9.98301320649849	9.84139051827015	9.44975778008558	9.63905827641618
"4670"	7.76394487665821	7.63363838980007	7.98033276234092	7.91653828774658	7.75621028229867	7.3895708270567	7.28310821759725	7.17400856003232	7.4249552674731	7.4677491164655	7.73385885171534	7.58389374651005	7.37421178531291	7.48081041585202	7.9710384754512	7.22461578744681
"3184"	8.17472179242241	8.18206446360734	8.48072267287826	8.8312704694422	8.87921474300539	8.43702794345577	7.97887125583051	8.07711356476277	8.25122043577055	8.45627724901099	8.06226330666957	8.57371567999196	8.38161471429128	8.58680093183701	8.48730743783019	8.30835577705477
"9045"	11.0766661422384	10.7434584776458	11.3019135573289	11.3104766095851	11.0718757231271	11.6795614253487	11.1088152059264	10.1905158583835	10.2221680298944	10.5332424314355	10.5587095295193	10.7785713828497	10.9543448223282	11.1491827918244	11.1109310069266	10.6009839362103
"2987"	8.39090118450916	7.38519180703962	8.0203834515825	7.59011869164807	7.14646855958814	6.71208497029128	7.68800951204953	7.74530309020196	7.71984366212004	7.42790340934173	7.01317532075275	8.00554404951749	7.15668193690533	7.16780918825156	6.40230472045283	8.18017759871293
"79036"	6.72229752403152	6.61388159433266	6.8855315314466	6.8839452945509	6.7373249391597	6.69897810958332	6.8676406197632	6.45861488605821	6.36647670414021	6.33746565338778	6.32371716209742	6.51719016150667	6.60851831443174	6.43932275991709	6.57043881700788	6.44785949519406
"4946"	12.5117906881104	12.5161403349236	13.0219481599375	12.8381709654557	12.7339759002794	12.5875800778745	12.7540030334033	12.4256854461479	12.3334165482041	12.2767689870915	12.2287558656035	12.5042622267249	11.8547035506359	11.8740998156037	12.5782522579136	12.3257164909103
"533"	10.1672794458303	9.2298896738252	11.2548853308665	11.1306186630114	10.1070944231953	10.5901287489468	11.4187544880607	10.4306302860946	10.3873590629144	10.0361121564863	9.9453090463105	9.97545591725462	9.91601479254719	9.71593215121419	10.6172424120054	9.96196694764028
"3735"	11.2541541138492	11.4518486182353	11.6108579987125	11.4403043216586	11.4234215892697	10.962174147535	11.2121326228584	11.0974206857883	11.5031999576839	11.2109761181983	11.1081881343812	11.5127166686268	11.5612576319	11.7847746169972	10.6902627561284	11.359235391664
